Sep 15 08:47:26 abhishek-Lenovo-Z580 rsyslogd: [origin software="rsyslogd" swVersion="5.8.6" x-pid="982" x-info="http://www.rsyslog.com"] rsyslogd was HUPed
Sep 15 08:47:27 abhishek-Lenovo-Z580 anacron[1822]: Job `cron.daily' terminated
Sep 15 08:47:27 abhishek-Lenovo-Z580 anacron[1822]: Normal exit (1 job run)
Sep 15 09:05:57 abhishek-Lenovo-Z580 kernel: [ 1460.736558] ideapad_laptop: Unknown event: 1
Sep 15 09:06:20 abhishek-Lenovo-Z580 kernel: [ 1483.286749] ideapad_laptop: Unknown event: 1
Sep 15 09:06:42 abhishek-Lenovo-Z580 kernel: [ 1506.034934] ideapad_laptop: Unknown event: 1
Sep 15 09:07:05 abhishek-Lenovo-Z580 kernel: [ 1528.716880] ideapad_laptop: Unknown event: 1
Sep 15 09:07:28 abhishek-Lenovo-Z580 kernel: [ 1551.368321] ideapad_laptop: Unknown event: 1
Sep 15 09:07:50 abhishek-Lenovo-Z580 kernel: [ 1573.847156] ideapad_laptop: Unknown event: 1
Sep 15 09:08:13 abhishek-Lenovo-Z580 kernel: [ 1596.462949] ideapad_laptop: Unknown event: 1
Sep 15 09:08:36 abhishek-Lenovo-Z580 kernel: [ 1619.034556] ideapad_laptop: Unknown event: 1
Sep 15 09:08:58 abhishek-Lenovo-Z580 kernel: [ 1641.598832] ideapad_laptop: Unknown event: 1
Sep 15 09:09:21 abhishek-Lenovo-Z580 kernel: [ 1664.265784] ideapad_laptop: Unknown event: 1
Sep 15 09:09:44 abhishek-Lenovo-Z580 kernel: [ 1686.913568] ideapad_laptop: Unknown event: 1
Sep 15 09:10:06 abhishek-Lenovo-Z580 kernel: [ 1709.462632] ideapad_laptop: Unknown event: 1
Sep 15 09:10:29 abhishek-Lenovo-Z580 kernel: [ 1731.964366] ideapad_laptop: Unknown event: 1
Sep 15 09:10:51 abhishek-Lenovo-Z580 kernel: [ 1754.527970] ideapad_laptop: Unknown event: 1
Sep 15 09:11:14 abhishek-Lenovo-Z580 kernel: [ 1777.636557] ideapad_laptop: Unknown event: 1
Sep 15 09:11:38 abhishek-Lenovo-Z580 kernel: [ 1800.752024] ideapad_laptop: Unknown event: 1
Sep 15 09:12:01 abhishek-Lenovo-Z580 kernel: [ 1823.835426] ideapad_laptop: Unknown event: 1
Sep 15 09:12:24 abhishek-Lenovo-Z580 kernel: [ 1847.000923] ideapad_laptop: Unknown event: 1
Sep 15 09:12:47 abhishek-Lenovo-Z580 kernel: [ 1869.961783] ideapad_laptop: Unknown event: 1
Sep 15 09:13:10 abhishek-Lenovo-Z580 kernel: [ 1892.697132] ideapad_lap
